WatchNumber,numberStation,cabinNumber,timeStop,timeNow
0,48-YHF,63-RZK,02:42:31,10:42:31
1,38-ИПИ,75-WCI,16:03:25,00:03:25
2,30-WDY,58-ЫФА,05:51:42,09:51:42
3,10-ТБЧ,95-ЦИЬ,18:26:53,20:26:53
4,40-VNQ,62-ЕЬХ,04:29:39,10:29:39
5,5-БЩР,69-IAA,13:49:01,16:49:01
6,43-ZNO,74-NYB,14:50:56,17:50:56
7,19-JTQ,83-ARI,03:31:20,06:31:20
8,43-ЕЦН,60-BSA,04:05:09,09:05:09
9,18-YWP,68-ЭРП,19:27:52,20:27:52
10,43-QRR,51-ЫНГ,02:51:57,10:51:57
11,28-АМИ,70-UGD,23:47:58,02:47:58
12,17-ИЫЗ,99-SMS,23:35:24,04:35:24
13,16-DAK,97-ИХБ,09:51:01,12:51:01
14,18-ЕЪП,51-СЮМ,22:25:04,23:25:04
15,48-ШЩЩ,63-KDP,03:59:41,04:59:41
16,9-ECZ,62-ЩТД,14:26:53,23:26:53
17,49-VYW,95-ИУШ,15:07:18,00:07:18
18,19-QFV,73-СЫЩ,23:16:00,08:16:00
19,5-HCX,92-ЗЮУ,17:22:45,20:22:45
20,15-NTS,82-GRZ,16:01:14,18:01:14
21,20-ЧМЯ,63-МЬЦ,09:23:05,11:23:05
22,20-ГМД,88-CKA,13:40:37,16:40:37
23,11-ЖУН,50-ЮСС,06:20:49,10:20:49
24,43-NGS,59-CJO,00:14:30,05:14:30
25,8-РШЗ,97-ЫШГ,22:41:13,03:41:13
26,20-LGW,76-ISR,00:07:24,09:07:24
27,13-VVK,58-ЧСВ,17:18:12,19:18:12
28,11-BSZ,58-DRA,23:00:29,00:00:29
29,35-ООЭ,56-DDB,02:32:16,11:32:16
30,48-ЬСП,84-ЖАФ,15:34:47,19:34:47
31,13-СБХ,53-TIS,14:40:59,17:40:59
32,6-ЫШЮ,87-WMW,08:34:46,10:34:46
33,19-ДРЕ,98-ЯПЙ,13:16:08,18:16:08
34,21-ECJ,69-UCZ,08:17:18,11:17:18
35,30-KFY,83-MCN,01:09:32,09:09:32
36,22-SQB,60-IOC,14:41:02,23:41:02
37,6-ULI,50-ИЖД,09:51:55,14:51:55
38,33-VEN,62-IGH,11:36:54,17:36:54
39,20-ЦХМ,62-DYJ,02:20:43,07:20:43
40,8-ОРЭ,96-СГВ,04:54:47,06:54:47
41,48-QFA,54-ХЮФ,08:53:11,11:53:11
42,45-ВУС,93-ЕМЬ,18:36:01,19:36:01
43,8-ЬТХ,85-MOF,19:47:12,20:47:12
44,19-QRY,68-ЪСЛ,11:20:33,12:20:33
45,20-ЬНД,90-СПЭ,14:24:47,23:24:47
46,15-KKX,66-BSV,14:05:23,22:05:23
47,10-YMI,66-ЩАС,11:57:44,17:57:44
48,17-ХЪЛ,83-МСП,12:15:20,18:15:20
49,24-ANO,57-ВЦН,04:56:48,11:56:48
50,19-JXB,99-ВТТ,23:58:42,00:58:42
51,24-BSU,74-HRE,06:46:01,07:46:01
52,5-ФЩН,74-ТРН,06:41:36,09:41:36
53,14-CGP,99-РРД,02:21:45,11:21:45
54,8-СЪХ,61-URV,18:11:55,00:11:55
55,26-ГЦБ,55-SVM,11:39:55,15:39:55
56,18-GBD,99-БМЭ,09:09:25,18:09:25
57,43-SBZ,98-ZVG,11:41:21,18:41:21
58,9-ЯЯЖ,75-RAV,13:49:02,20:49:02
59,14-УНЧ,63-ЙЫЪ,06:47:57,15:47:57
60,21-PNU,61-ЭЩЧ,13:40:56,15:40:56
61,5-ERY,97-UVH,03:35:11,04:35:11
62,44-BQC,80-АДУ,03:37:19,05:37:19
63,37-SHK,69-JVN,12:39:10,14:39:10
64,14-ЙЩД,89-ЛЖМ,22:49:08,00:49:08
65,26-ЖЛЬ,87-FIC,17:40:48,23:40:48
66,18-YTA,56-XYX,12:00:14,18:00:14
67,24-WRY,86-РВЪ,18:30:30,01:30:30
68,38-TTA,58-ДЗЬ,15:48:47,21:48:47
69,12-МВЙ,75-XBN,09:51:25,10:51:25
70,32-ЫЫЛ,85-ЮЪК,09:54:13,15:54:13
71,33-HQR,68-ЭПЬ,03:05:27,12:05:27
72,24-КЛН,76-ОСЕ,15:59:43,21:59:43
73,28-БХГ,84-GJW,23:40:15,05:40:15
74,33-ЬЫС,78-BDG,14:42:05,21:42:05
75,33-ЛЭЗ,74-ЙЦЖ,14:05:38,16:05:38
76,45-НЯЧ,80-УШП,18:18:30,22:18:30
77,39-RED,70-РЬО,14:14:35,21:14:35
78,43-УИТ,59-TMX,03:23:50,08:23:50
79,13-ЗТМ,82-ЭУУ,18:21:37,20:21:37
80,24-IQE,73-ЩЯК,03:44:59,10:44:59
81,9-ЮНЧ,79-ХДШ,11:17:43,19:17:43
82,17-ЪЭА,69-GZN,16:55:20,18:55:20
83,11-KUD,51-YKV,18:43:21,00:43:21
84,6-GVT,61-ZPA,04:28:31,10:28:31
85,13-QLB,79-РРП,11:26:10,16:26:10
86,40-МВЙ,65-IJY,01:21:47,05:21:47
87,38-ЧПУ,81-KZU,12:30:18,17:30:18
88,46-ИЙВ,67-ЭЦЦ,01:41:23,08:41:23
89,16-ЗСЦ,94-SJB,11:30:21,18:30:21
90,20-ЩЭЙ,51-ГЧФ,03:27:36,06:27:36
91,44-ЬЕЙ,56-CLF,20:45:59,01:45:59
92,35-URX,93-MZX,05:43:38,08:43:38
93,45-ОЖД,92-JIL,19:00:43,20:00:43
94,28-НВЕ,59-ЙОК,08:42:19,13:42:19
95,49-ГЭЩ,64-ЖЗЪ,10:22:05,19:22:05
96,22-СЫТ,55-RLD,12:56:00,15:56:00
97,24-ШФЗ,87-ШБП,16:26:52,19:26:52
98,12-TGT,58-BUS,16:42:03,23:42:03
99,39-EJA,70-ЮУЭ,18:20:48,20:20:48
100,6-ЮЛЬ,99-ФЯХ,09:55:28,18:55:28
101,43-ГОХ,71-АЯР,12:42:01,15:42:01
102,20-ВЬИ,67-ШМУ,20:37:17,22:37:17
103,18-NDS,56-SON,14:09:39,17:09:39
104,6-ПЦЫ,57-ЮБЬ,14:41:38,17:41:38
105,10-ДФЫ,98-ОВЕ,04:44:47,11:44:47
106,9-ДЮВ,78-GBQ,17:08:56,19:08:56
107,31-ЫФЧ,85-ЮУЭ,14:15:24,22:15:24
108,45-АЧЩ,92-РЮЦ,10:45:32,12:45:32
109,14-XCS,73-EVD,13:12:09,20:12:09
110,34-TJH,55-BGP,17:45:22,23:45:22
111,35-WJD,63-SSV,22:37:42,03:37:42
112,30-OZP,65-NMT,14:05:01,22:05:01
113,43-SCK,51-VDB,19:14:33,02:14:33
114,14-ДЩЫ,71-YON,08:08:10,16:08:10
115,42-QGE,65-KSV,11:53:54,12:53:54
116,43-ЦСА,96-TKF,14:18:09,17:18:09
117,22-ЭЧЛ,58-ZNU,13:24:04,18:24:04
118,35-AER,70-IXC,04:23:56,13:23:56
119,30-NSE,93-NJU,04:38:01,11:38:01
120,48-LDD,87-ОУН,15:44:23,17:44:23
121,28-MDS,95-ЭВЯ,23:41:38,05:41:38
122,31-PZM,59-MLN,22:04:49,06:04:49
123,47-ХЦИ,85-GSD,01:42:28,03:42:28
124,17-ЛОТ,87-HGV,13:55:00,20:55:00
125,45-ЧРП,86-EEB,16:38:11,20:38:11
126,9-SXW,51-BFO,22:22:36,23:22:36
127,16-XQZ,63-ЗШИ,11:41:49,15:41:49
128,21-WBL,84-LAT,06:21:05,08:21:05
129,17-IXJ,72-ЦЗМ,19:20:57,21:20:57
130,15-БЦТ,79-QJH,19:21:44,21:21:44
131,31-УЪЯ,88-ВРХ,17:26:59,00:26:59
132,25-ЪЗЧ,90-KKT,05:55:24,13:55:24
133,36-ОВЮ,82-DIW,16:56:53,00:56:53
134,17-XKU,93-НБН,23:58:23,03:58:23
135,29-EZE,89-MKU,10:37:07,15:37:07
136,34-YFS,70-ЮЯХ,07:55:21,13:55:21
137,12-НЙЮ,86-TCB,16:34:53,00:34:53
138,43-YFR,51-GYC,09:05:04,17:05:04
139,26-ЩИЙ,71-WGB,15:05:14,00:05:14
140,8-KCT,99-ЬДЙ,05:33:25,10:33:25
141,32-EZC,86-TUG,00:39:35,08:39:35
142,34-VLI,84-HYD,07:20:02,14:20:02
143,28-RKP,58-IYN,10:47:25,18:47:25
144,15-XIH,63-GLF,05:58:06,12:58:06
145,26-НЬД,88-VCV,09:37:00,13:37:00
146,19-ЙКЪ,50-СФФ,11:23:04,20:23:04
147,20-ДАТ,75-BPC,19:43:07,21:43:07
148,42-АБЧ,94-HIY,19:03:47,21:03:47
149,35-XRK,74-ПГШ,15:22:24,18:22:24
150,23-ЪЙС,88-ЪЫТ,09:37:56,12:37:56
151,27-ЖЬД,57-ЪХТ,17:21:07,01:21:07
152,30-XUB,75-MQK,19:23:48,23:23:48
153,46-КУЬ,69-ЗБЖ,17:38:54,18:38:54
154,25-HQU,58-ОЛБ,14:59:13,21:59:13
155,40-ДЯЙ,54-DZW,07:24:40,10:24:40
156,17-NEE,80-YRB,06:53:38,13:53:38
157,40-WOL,74-ЯТЩ,02:43:51,04:43:51
158,5-EVN,55-FTW,05:34:49,11:34:49
159,21-JDV,58-ZDW,17:41:04,22:41:04
160,49-AXM,58-EUF,17:14:26,18:14:26
161,10-ЧЫЭ,97-OBL,09:51:39,12:51:39
162,42-VIV,65-ИЬЗ,07:38:39,09:38:39
163,32-JUG,91-ЩШШ,13:09:22,22:09:22
164,11-ВЭФ,95-ЙЕР,18:13:46,03:13:46
165,33-ХЭИ,54-TRB,06:57:47,14:57:47
166,9-УКЦ,97-СЪЪ,17:17:36,18:17:36
167,42-AFT,53-NHN,10:17:22,12:17:22
168,18-SQF,51-ГФМ,15:16:08,00:16:08
169,21-ВБЬ,92-ДЦК,14:00:05,17:00:05
170,33-XHR,94-UUO,13:25:43,22:25:43
171,34-JAS,96-УБЪ,10:09:10,16:09:10
172,49-ЫШЙ,68-ЫНГ,09:05:32,10:05:32
173,29-THM,62-UBZ,01:35:07,08:35:07
174,8-ВКЧ,90-KYF,04:54:38,09:54:38
175,11-ЮОП,98-WVE,05:02:18,12:02:18
176,30-ЯБУ,89-ПСЭ,01:14:02,06:14:02
177,47-GCY,55-GBO,07:54:54,15:54:54
178,26-КЫЦ,56-ЪФФ,14:18:16,23:18:16
179,30-ХЦЖ,56-AKW,06:44:00,08:44:00
180,21-ВЧК,98-PUU,09:13:02,12:13:02
181,33-УЕА,79-DJE,01:16:21,02:16:21
182,15-BGR,72-ЕЧТ,11:50:31,15:50:31
183,17-ИТН,69-JXW,19:28:24,01:28:24
184,13-ВШД,82-ТЪЕ,00:27:34,05:27:34
185,10-BEA,86-DHH,00:34:25,07:34:25
186,19-УЩК,74-XFM,12:08:41,17:08:41
187,44-UIC,60-ДКЬ,08:29:30,12:29:30
188,23-YAD,86-ЖЪЭ,15:14:33,17:14:33
189,28-LOG,55-MPA,04:33:10,07:33:10
190,34-РТЬ,66-ЦХБ,19:30:20,03:30:20
191,25-ЕЛХ,90-MTG,00:13:48,02:13:48
192,48-КАР,88-ЪЧЮ,10:53:36,12:53:36
193,46-УНЯ,83-ЕКЫ,15:04:13,18:04:13
194,11-SUP,72-ЙЦТ,03:08:36,06:08:36
195,29-ССТ,90-ШОЙ,01:10:40,09:10:40
196,12-ЬХЙ,68-ЖЩБ,23:55:27,04:55:27
197,43-WVB,51-ФЩВ,08:53:00,15:53:00
198,32-НЙЪ,56-ТФЛ,05:03:06,12:03:06
199,7-ВЧЭ,69-JCH,16:46:57,20:46:57
200,22-ЭХР,93-МЯЪ,03:32:19,11:32:19
201,37-ОЭЖ,59-НЭМ,16:39:28,22:39:28
202,44-HBY,98-YBB,21:39:52,23:39:52
203,48-TYX,90-BNR,10:04:19,17:04:19
204,18-ЙЛЩ,63-LST,13:56:18,14:56:18
205,13-AUK,66-MNZ,21:59:09,00:59:09
206,31-PRO,72-IYN,20:27:03,21:27:03
207,49-JEE,87-МСЫ,01:12:55,10:12:55
208,12-TAK,62-ЮПЭ,01:04:02,03:04:02
209,8-BVO,77-ТМЖ,18:03:11,19:03:11
210,36-XOC,84-IVZ,09:38:32,10:38:32
211,41-ВББ,96-VYQ,06:06:54,09:06:54
212,19-THY,72-ЕОЪ,12:48:53,17:48:53
213,6-ИИД,63-ЩХЯ,12:26:28,18:26:28
214,31-УЗЗ,81-KUD,11:54:18,15:54:18
215,5-TDM,51-ZCT,08:04:49,12:04:49
216,45-SCI,98-ЫГТ,20:25:37,21:25:37
217,48-ЧРД,78-ЩУШ,21:08:22,00:08:22
218,46-WZP,76-YSL,08:22:58,10:22:58
219,7-LPL,56-ФЪЪ,16:39:10,01:39:10
220,33-KSG,77-ЙРЧ,10:03:47,15:03:47
221,42-КОС,76-FRE,08:10:04,12:10:04
222,33-КФИ,89-ГША,10:57:14,16:57:14
223,12-ЫТО,90-QQU,23:54:54,00:54:54
224,38-ЛАБ,87-FIZ,20:21:14,21:21:14
225,43-УШЛ,85-CER,20:13:01,04:13:01
226,21-YFT,79-AYY,13:49:59,15:49:59
227,26-ZGI,50-ЩЬХ,02:31:11,09:31:11
228,10-ЦЛТ,72-ANZ,11:01:21,15:01:21
229,19-ФУУ,91-БЗФ,06:56:39,11:56:39
230,10-KTE,64-ЯАА,20:32:41,22:32:41
231,30-КВХ,75-ЮЫУ,11:15:12,19:15:12
232,23-PEM,64-QWS,05:42:48,07:42:48
233,38-ЙЬЩ,97-ЮЩЫ,00:32:54,04:32:54
234,24-FYB,93-ЭЗО,11:29:19,13:29:19
235,44-IJR,56-RGT,18:41:39,02:41:39
236,12-ЯГН,60-KEU,15:28:25,20:28:25
237,28-ЬОО,54-TNE,05:51:59,09:51:59
238,38-КФЩ,60-RLC,21:14:16,03:14:16
239,30-YZK,67-ОГЖ,00:49:39,09:49:39
240,23-NXU,55-UJE,08:44:51,14:44:51
241,47-ИОА,52-MKI,23:06:50,00:06:50
242,46-ЙПЙ,81-BGL,00:00:18,02:00:18
243,15-HUL,57-АРЗ,19:22:39,23:22:39
244,24-TQU,65-ЕЧИ,05:39:14,11:39:14
245,40-WAK,82-IPA,13:47:18,20:47:18
246,41-BQL,51-УШГ,15:00:18,22:00:18
247,37-JFD,99-USB,17:26:52,20:26:52
248,34-ЮГЭ,69-ЪЬК,19:14:44,21:14:44
249,41-DXC,56-ЖЫХ,09:46:07,10:46:07
250,5-ЯЗГ,96-JQS,19:47:22,21:47:22
251,28-ЮМЛ,86-КЩР,01:11:48,10:11:48
252,26-ЗЪЩ,79-ZOY,13:48:44,22:48:44
253,34-ГСМ,64-FZT,10:42:19,14:42:19
254,14-ЦНЗ,64-MXI,06:29:47,07:29:47
255,11-EMI,60-XYC,11:57:17,19:57:17
256,15-ГДФ,82-SUG,23:21:03,05:21:03
257,22-ПЕЪ,88-AXP,14:57:08,23:57:08
258,37-BMV,64-KPD,22:19:47,02:19:47
259,35-NUC,96-ФЗЦ,14:44:09,22:44:09
260,6-ЮЗЕ,67-ЫЧМ,11:44:12,15:44:12
261,48-ЙЪА,99-ЯБШ,18:16:05,21:16:05
262,20-ШНЮ,77-TGX,03:22:54,12:22:54
263,38-СХД,54-БЛО,11:17:35,20:17:35
264,25-КЦВ,91-IUR,11:49:26,13:49:26
265,35-ЖФШ,56-ЗИО,06:57:58,12:57:58
266,21-ЧМЧ,80-UDL,22:16:42,05:16:42
267,37-KLN,57-БЩС,15:10:36,23:10:36
268,15-XAB,96-ГРБ,12:45:05,17:45:05
269,33-CWP,84-XWE,21:20:30,22:20:30
270,37-VZU,81-ТПЙ,17:34:23,19:34:23
271,23-АЩГ,60-UNW,00:52:29,03:52:29
272,18-ВЯИ,64-ДФД,15:07:58,16:07:58
273,16-NVE,94-ЗАЭ,14:20:31,20:20:31
274,26-ЗНА,96-HJH,21:03:39,01:03:39
275,6-ШУС,53-НУЙ,10:34:44,17:34:44
276,35-ПБЗ,68-ЖТЩ,12:26:09,16:26:09
277,28-ЮМЪ,85-ЯЗЮ,19:52:52,04:52:52
278,8-БХШ,77-ЮЯД,13:12:38,21:12:38
279,17-МСЕ,85-BZF,14:31:11,16:31:11
280,46-DMY,88-WWX,07:13:05,12:13:05
281,12-КСИ,63-ЛЗД,19:18:21,01:18:21
282,39-LBD,72-ЯМЕ,20:57:27,01:57:27
283,29-ЬЦЧ,95-AFG,12:26:43,15:26:43
284,21-ЩЖЯ,84-MPQ,21:14:23,22:14:23
285,30-DYY,92-ЭХК,18:27:32,21:27:32
286,15-BON,86-TAZ,21:15:58,00:15:58
287,38-ОУА,74-OOP,08:06:01,16:06:01
288,26-ЦЙШ,67-KDT,07:58:03,15:58:03
289,9-АБГ,61-ЖЖА,21:14:10,04:14:10
290,19-DDH,95-УДО,08:57:26,16:57:26
291,40-НВР,64-DML,22:12:54,04:12:54
292,14-VBS,80-ФФТ,05:12:04,10:12:04
293,16-AJZ,60-МХА,09:52:38,17:52:38
294,18-ЕЫС,81-VIR,10:15:19,19:15:19
295,19-DZJ,77-PWJ,03:23:50,04:23:50
296,23-SXW,79-LMH,20:48:18,03:48:18
297,31-FQP,56-ZCC,04:42:55,09:42:55
298,23-ХСЙ,86-FYY,23:54:00,04:54:00
299,46-QPX,72-ЯЧС,03:41:49,08:41:49
300,42-HWT,78-ЛНБ,12:42:10,15:42:10
301,6-BOO,64-ПЯО,18:46:52,22:46:52
302,32-IYI,97-ЗВЫ,22:35:28,23:35:28
303,23-YQU,87-QJI,14:16:00,21:16:00
304,34-ДПЪ,68-ЬЕИ,11:33:40,20:33:40
305,44-ИЛЩ,57-AVM,00:06:13,04:06:13
306,15-ЩЖЪ,76-PXW,17:03:15,02:03:15
307,47-ЪЛЭ,70-PWB,11:31:12,19:31:12
308,46-ФУЬ,70-MOZ,20:52:09,23:52:09
309,12-ОМЙ,91-СЩР,01:33:52,02:33:52
310,35-UGI,67-BCM,12:50:40,20:50:40
311,35-PWX,59-PQS,17:03:02,19:03:02
312,8-XAG,50-ЕЦИ,06:05:18,10:05:18
313,30-NHP,62-NFE,06:02:11,12:02:11
314,25-ОИТ,58-SAV,10:37:48,17:37:48
315,15-ЦШЬ,94-СЕЯ,17:23:04,01:23:04
316,17-HID,56-ЖРЩ,05:58:10,06:58:10
317,12-YQN,77-PSZ,18:21:00,21:21:00
318,34-БЭЕ,51-GFS,00:53:07,09:53:07
319,22-FGD,69-БУО,06:54:39,12:54:39
320,14-WAR,66-ФЛЯ,02:38:47,07:38:47
321,44-LZD,69-КФИ,22:10:58,00:10:58
322,32-МЕС,67-МЖЪ,13:26:06,15:26:06
323,29-UUB,71-WYL,22:44:15,00:44:15
324,10-TVR,91-ЦЛЫ,19:19:19,04:19:19
325,38-KPH,66-ЬОШ,08:22:18,14:22:18
326,23-ЕЪЗ,95-СКГ,06:59:40,15:59:40
327,32-ЭТУ,78-ELK,23:05:30,08:05:30
328,25-ХЯО,71-ONH,16:03:56,21:03:56
329,48-HQT,51-КРГ,23:03:47,07:03:47
330,37-ЭАА,53-ДРР,20:34:30,23:34:30
331,15-TTT,79-LCN,07:26:33,13:26:33
332,19-RXB,69-JAR,16:49:14,19:49:14
333,8-XVE,92-ЫУМ,00:16:09,07:16:09
334,44-РЦШ,55-МУА,00:09:39,05:09:39
335,9-CMT,87-ЖЭЮ,06:04:37,07:04:37
336,15-XEW,86-ЪГН,00:43:21,04:43:21
337,43-REP,94-АОЮ,14:13:46,22:13:46
338,33-NGK,58-ЗТР,16:04:19,01:04:19
339,10-ИНЦ,82-BGP,08:18:29,12:18:29
340,14-ЛГМ,61-AGT,22:19:05,07:19:05
341,28-ФУТ,65-LNM,07:24:18,11:24:18
342,22-FLV,68-JSW,19:42:34,01:42:34
343,38-НЪЯ,98-OYE,20:16:58,00:16:58
344,23-SZW,89-GRC,20:53:12,02:53:12
345,21-SLD,88-UWX,09:31:15,15:31:15
346,45-WRM,57-TFL,10:31:32,15:31:32
347,21-KGN,77-ШЯИ,16:38:41,18:38:41
348,43-БПБ,94-ЙФЩ,19:53:31,22:53:31
349,24-FIF,64-ЛХЕ,20:38:30,21:38:30
350,17-РОФ,92-ЧДЧ,09:40:44,16:40:44
351,46-МЩА,57-CXM,09:15:14,15:15:14
352,45-QJY,58-РМЛ,22:14:12,02:14:12
353,23-ВЙЫ,73-ICU,04:06:01,07:06:01
354,16-ЭРХ,95-UNN,18:57:14,19:57:14
355,9-ЩМЩ,66-JNB,02:28:29,08:28:29
356,13-JXB,70-ЛИН,20:57:16,00:57:16
357,10-ЯБТ,80-KIL,05:22:29,09:22:29
358,7-БОЭ,51-ВНТ,07:34:47,10:34:47
359,48-ЯЙЩ,92-TYY,03:55:43,04:55:43
360,42-ЖЦХ,97-АИО,13:53:17,14:53:17
361,33-УПФ,50-CUP,11:41:55,19:41:55
362,34-КЬТ,98-YXY,22:25:21,07:25:21
363,20-WJU,98-КДД,19:41:31,21:41:31
364,44-HAA,99-YUG,07:47:35,12:47:35
365,32-XUH,55-SPH,14:57:31,19:57:31
